timestamp,bid,ask
1790330913,4298.75,4299.5
1790330913,4298.73,4299.48
1790330913,4298.65,4299.4
1790330913,4298.73,4299.48
1790330913,4298.74,4299.49
1790330913,4298.87,4299.62
1790330913,4299.11,4299.61
1790330914,4299.13,4299.63
1790330914,4299.16,4299.66
1790330914,4299.13,4299.88
1790330914,4299.23,4299.98
1790330914,4299.36,4300.11
1790330914,4299.47,4300.22
1790330914,4299.49,4300.24
1790330914,4299.51,4300.26
1790330914,4299.64,4300.39
1790330914,4299.7,4300.45
1790330914,4299.62,4300.37
1790330915,4299.61,4300.36
1790330915,4299.53,4300.28
1790330915,4299.4,4300.15
1790330915,4299.31,4300.06
1790330915,4299.19,4299.94
1790330915,4299.1,4299.85
1790330915,4298.97,4299.72
1790330916,4299.08,4299.83
1790330916,4299.21,4299.96
1790330916,4299.25,4300.0
1790330916,4299.21,4299.96
1790330916,4299.2,4299.95
1790330917,4299.16,4299.91
1790330917,4299.18,4299.93
1790330917,4299.2,4299.95
1790330917,4299.25,4300.0
1790330917,4299.24,4299.99
1790330918,4299.15,4299.9
1790330918,4299.22,4299.97
1790330918,4299.24,4299.99
1790330918,4299.17,4299.92
1790330918,4299.22,4299.97
1790330919,4299.15,4299.9
1790330920,4299.25,4300.0
1790330920,4299.4,4300.15
1790330920,4299.36,4300.11
1790330920,4299.32,4300.07
1790330920,4299.27,4300.02
1790330921,4299.28,4300.03
1790330921,4299.37,4300.12
1790330921,4299.31,4300.06
1790330921,4299.39,4300.14
1790330922,4299.48,4300.23
1790330922,4299.57,4300.32
1790330922,4299.59,4300.34
1790330922,4299.69,4300.44
1790330922,4299.7,4300.45
1790330922,4299.71,4300.46
1790330923,4299.65,4300.4
1790330923,4299.64,4300.39
1790330923,4299.65,4300.4
1790330923,4299.71,4300.46
1790330924,4299.7,4300.45
1790330924,4299.63,4300.38
1790330924,4299.61,4300.36
1790330925,4299.7,4300.45
1790330925,4299.79,4300.54
1790330925,4299.85,4300.6
1790330925,4299.94,4300.69
1790330925,4300.02,4300.77
1790330925,4300.13,4300.88
1790330925,4300.23,4300.98
1790330925,4300.36,4301.11
1790330925,4300.48,4301.23
1790330925,4300.6,4301.35
1790330925,4300.75,4301.5
1790330925,4300.89,4301.64
1790330925,4301.01,4301.76
1790330925,4301.22,4301.72
1790330925,4301.28,4301.78
1790330925,4301.28,4302.03
1790330925,4301.38,4302.13
1790330925,4301.53,4302.28
1790330925,4301.64,4302.39
1790330925,4301.85,4302.6
1790330925,4301.96,4302.71
1790330926,4302.06,4302.81
1790330926,4302.22,4302.97
1790330926,4302.34,4303.09
1790330926,4302.5,4303.25
1790330926,4302.31,4303.06
1790330926,4302.56,4303.31
1790330926,4302.68,4303.43
1790330926,4302.77,4303.52
1790330926,4302.95,4303.7
1790330926,4303.04,4303.79
1790330926,4303.14,4303.89
1790330926,4303.24,4303.99
1790330926,4303.33,4304.08
1790330926,4303.18,4303.93
1790330926,4303.05,4303.8
1790330926,4303.15,4303.9
1790330926,4303.01,4303.76
1790330926,4302.87,4303.62
1790330926,4302.72,4303.47
1790330926,4302.67,4303.42
1790330926,4302.53,4303.28
1790330926,4302.43,4303.18
1790330926,4302.2,4302.95
1790330926,4302.1,4302.85
1790330926,4302.01,4302.76
1790330926,4302.11,4302.86
1790330927,4302.27,4303.02
1790330927,4302.18,4302.93
1790330927,4302.12,4302.87
1790330927,4302.02,4302.77
1790330927,4301.93,4302.68
1790330927,4301.84,4302.59
1790330927,4301.75,4302.5
1790330927,4301.87,4302.62
1790330927,4302.0,4302.75
1790330927,4301.89,4302.64
1790330927,4301.77,4302.52
1790330927,4301.69,4302.44
1790330927,4301.59,4302.34
1790330927,4301.49,4302.24
1790330927,4301.4,4302.15
1790330927,4301.29,4302.04
1790330927,4301.2,4301.95
1790330927,4301.14,4301.89
1790330927,4301.12,4301.87
1790330927,4301.11,4301.86
1790330927,4301.09,4301.84
1790330927,4301.05,4301.8
1790330927,4301.13,4301.88
1790330928,4301.12,4301.87
1790330928,4301.08,4301.83
1790330928,4301.12,4301.87
1790330928,4301.1,4301.85
1790330929,4301.11,4301.86
1790330929,4301.21,4301.96
1790330929,4301.19,4301.94
1790330929,4301.14,4301.89
1790330929,4301.21,4301.96
1790330929,4301.35,4302.1
1790330929,4301.45,4302.2
1790330929,4301.47,4302.22
1790330929,4301.46,4302.21
1790330930,4301.51,4302.26
1790330930,4301.56,4302.31
1790330930,4301.54,4302.29
1790330930,4301.57,4302.32
1790330930,4301.6,4302.35
1790330930,4301.57,4302.32
1790330931,4301.59,4302.34
1790330931,4301.58,4302.33
1790330931,4301.56,4302.31
1790330931,4301.49,4302.24
1790330931,4301.42,4302.17
1790330931,4301.4,4302.15
1790330932,4301.38,4302.13
1790330932,4301.43,4302.18
1790330932,4301.44,4302.19
1790330932,4301.31,4302.06
1790330932,4301.29,4302.04
1790330932,4301.19,4301.94
1790330932,4301.2,4301.95
1790330932,4301.19,4301.94
1790330933,4301.11,4301.86
1790330933,4301.1,4301.85
1790330933,4301.07,4301.82
1790330933,4301.04,4301.79
1790330933,4300.89,4301.64
1790330933,4300.88,4301.63
1790330933,4300.78,4301.53
1790330933,4300.81,4301.56
1790330934,4300.91,4301.66
1790330934,4300.95,4301.7
1790330934,4300.93,4301.68
1790330934,4300.91,4301.66
1790330934,4300.93,4301.68
1790330934,4300.97,4301.72
1790330935,4300.98,4301.73
1790330935,4300.93,4301.68
1790330935,4300.9,4301.65
1790330935,4300.99,4301.74
1790330935,4301.07,4301.82
1790330935,4301.1,4301.85
1790330935,4301.08,4301.83
1790330936,4301.11,4301.86
1790330936,4301.03,4301.78
1790330936,4300.93,4301.68
1790330936,4300.97,4301.72
1790330936,4301.07,4301.82
1790330936,4301.19,4301.94
1790330936,4301.22,4301.97
1790330936,4301.19,4301.94
1790330936,4301.3,4302.05
1790330937,4301.46,4302.21
1790330937,4301.57,4302.32
1790330937,4301.54,4302.29
1790330937,4301.55,4302.3
1790330937,4301.6,4302.35
1790330937,4301.7,4302.45
1790330937,4301.66,4302.41
1790330937,4301.75,4302.5
1790330937,4301.81,4302.56
1790330938,4301.82,4302.57
1790330938,4301.81,4302.56
1790330938,4301.78,4302.53
1790330938,4301.8,4302.55
1790330938,4301.89,4302.64
1790330938,4301.98,4302.73
1790330938,4302.04,4302.79
1790330939,4302.05,4302.8
1790330939,4302.02,4302.77
1790330939,4301.94,4302.69
1790330939,4301.88,4302.63
1790330939,4302.03,4302.78
1790330939,4301.94,4302.69
1790330939,4301.85,4302.6
1790330939,4301.78,4302.53
1790330939,4301.91,4302.66
1790330939,4301.95,4302.7
1790330940,4301.96,4302.71
1790330940,4301.94,4302.69
1790330940,4301.95,4302.7
1790330940,4301.81,4302.56
1790330940,4301.67,4302.42
1790330940,4301.58,4302.33
1790330940,4301.56,4302.31
1790330940,4301.51,4302.26
1790330941,4301.49,4302.24
1790330941,4301.46,4302.21
1790330941,4301.45,4302.2
1790330941,4301.35,4302.1
1790330941,4301.42,4302.17
1790330941,4301.47,4302.22
1790330941,4301.48,4302.23
1790330942,4301.53,4302.28
1790330942,4301.47,4302.22
1790330943,4301.48,4302.23
1790330943,4301.6,4302.35
1790330943,4301.69,4302.44
1790330943,4301.77,4302.52
1790330943,4301.75,4302.5
1790330943,4301.77,4302.52
1790330943,4301.75,4302.5
1790330944,4301.72,4302.47
1790330944,4301.71,4302.46
1790330944,4301.72,4302.47
1790330944,4301.82,4302.57
1790330944,4301.91,4302.66
1790330944,4301.97,4302.72
1790330944,4302.01,4302.76
1790330944,4301.87,4302.62
1790330944,4301.96,4302.71
1790330945,4301.97,4302.72
1790330945,4301.98,4302.73
1790330945,4301.89,4302.64
1790330945,4301.85,4302.6
1790330945,4301.81,4302.56
1790330946,4301.8,4302.55
1790330946,4301.71,4302.46
1790330946,4301.63,4302.38
1790330946,4301.59,4302.34
1790330946,4301.5,4302.25
1790330946,4301.49,4302.24
1790330946,4301.53,4302.28
1790330947,4301.57,4302.32
1790330947,4301.66,4302.41
1790330947,4301.76,4302.51
1790330947,4301.82,4302.57
1790330947,4301.93,4302.68
1790330947,4302.01,4302.76
1790330947,4302.03,4302.78
1790330948,4302.02,4302.77
1790330948,4302.03,4302.78
1790330948,4302.17,4302.92
1790330948,4302.28,4303.03
1790330948,4302.39,4303.14
1790330948,4302.51,4303.26
1790330948,4302.4,4303.15
1790330948,4302.31,4303.06
1790330948,4302.2,4302.95
1790330948,4302.22,4302.97
1790330948,4302.15,4302.9
1790330948,4302.1,4302.85
1790330949,4302.2,4302.95
1790330949,4302.31,4303.06
1790330949,4302.42,4303.17
1790330949,4302.51,4303.26
1790330949,4302.64,4303.39
1790330949,4302.77,4303.52
1790330949,4302.79,4303.54
1790330949,4302.8,4303.55
1790330949,4302.83,4303.58
1790330950,4302.81,4303.56
1790330950,4302.71,4303.46
1790330950,4302.62,4303.37
1790330950,4302.53,4303.28
1790330950,4302.42,4303.17
1790330950,4302.4,4303.15
1790330950,4302.49,4303.24
1790330950,4302.46,4303.21
1790330952,4302.44,4303.19
1790330952,4302.42,4303.17
1790330952,4302.38,4303.13
1790330952,4302.42,4303.17
1790330953,4302.41,4303.16
1790330953,4302.44,4303.19
1790330953,4302.43,4303.18
1790330954,4302.44,4303.19
1790330954,4302.43,4303.18
1790330954,4302.56,4303.31
1790330954,4302.65,4303.4
1790330954,4302.59,4303.34
1790330954,4302.57,4303.32
1790330955,4302.52,4303.27
1790330955,4302.61,4303.36
1790330955,4302.75,4303.5
1790330955,4302.78,4303.53
1790330955,4302.81,4303.56
1790330955,4302.79,4303.54
1790330955,4302.74,4303.49
1790330956,4302.61,4303.36
1790330956,4302.69,4303.44
1790330956,4302.7,4303.45
1790330956,4302.71,4303.46
1790330956,4302.73,4303.48
1790330956,4302.74,4303.49
1790330957,4302.71,4303.46
1790330957,4302.73,4303.48
1790330958,4302.72,4303.47
1790330958,4302.62,4303.37
1790330958,4302.5,4303.25
1790330958,4302.38,4303.13
1790330958,4302.29,4303.04
1790330958,4302.3,4303.05
1790330959,4302.39,4303.14
1790330959,4302.46,4303.21
1790330959,4302.54,4303.29
1790330959,4302.61,4303.36
1790330959,4302.68,4303.43
1790330960,4302.72,4303.47
1790330960,4302.85,4303.6
1790330960,4302.95,4303.7
1790330960,4303.02,4303.77
1790330960,4302.91,4303.66
1790330960,4302.79,4303.54
1790330960,4302.7,4303.45
1790330960,4302.62,4303.37
1790330960,4302.52,4303.27
1790330960,4302.54,4303.29
1790330960,4302.52,4303.27
1790330961,4302.53,4303.28
1790330961,4302.54,4303.29
1790330961,4302.55,4303.3
1790330962,4302.53,4303.28
1790330962,4302.71,4303.46
